Distance (Mpc),Velocity (km/s)
27.33865499,1842.357949
67.29430297,4737.631086
41.82178098,2984.032466
58.39356761,4010.421125
92.61319068,6402.961282
38.61317757,2708.661893
57.7139236,4068.202844
87.32529571,6060.924699
96.40015232,6792.884249
66.37223802,4652.245702
87.51446239,6126.352559
25.48450751,1766.86552
51.01070577,3572.450529
79.28980395,5566.567632
35.00420194,2425.987678
21.94661777,1498.659551
80.37865027,5617.102174
56.41706118,4023.197373
25.71494299,1794.528052
92.79656478,6511.055124
